id,fitness,niche
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
383,0.925062,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
510,0.930266,0
511,0.947344,0
447,0.92575,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
255,0.920052,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
509,0.917755,0
511,0.947344,0
511,0.947344,0
447,0.92575,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
479,0.929542,0
255,0.920052,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
479,0.929542,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
33279,0.943589,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
507,0.938896,0
511,0.947344,0
511,0.947344,0
1535,0.952453,0
510,0.930266,0
507,0.938896,0
33279,0.943589,0
511,0.947344,0
2559,0.943417,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
447,0.92575,0
447,0.92575,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
33279,0.943589,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
2559,0.943417,0
2559,0.943417,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
383,0.925062,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
2559,0.943417,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
8703,0.941896,0
511,0.947344,0
16895,0.937141,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
2559,0.943417,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
495,0.924568,0
511,0.947344,0
507,0.938896,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
8703,0.941896,0
511,0.947344,0
33279,0.943589,0
511,0.947344,0
507,0.938896,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
503,0.922328,0
2559,0.943417,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
1535,0.952453,0
511,0.947344,0
1535,0.952453,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
507,0.938896,0
8703,0.941896,0
479,0.929542,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
8703,0.941896,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
1535,0.952453,0
511,0.947344,0
509,0.917755,0
509,0.917755,0
511,0.947344,0
511,0.947344,0
511,0.947344,0
1019,0.944229,1
1519,0.935307,2
12799,0.936964,3
2543,0.922786,4
443,0.908151,5
499,0.905734,6
34301,0.924333,7
446,0.900307,8
351,0.89937,9
41215,0.917448,10
37303,0.892604,11
16637,0.861391,12
188,0.728964,13
